Marca,Modelo,Año,TipoCombustible,Transmisión
Hyundai,Pickup,2012,Nafta,Automática
Subaru,Hatchback,2013,Híbrido,Automática
Nissan,SUV,2023,Eléctrico,Automática
Hyundai,Convertible,2011,Eléctrico,Automática
Honda,Pickup,2016,Híbrido,Manual
Chevrolet,Sedan,2023,Nafta,Manual
Toyota,Hatchback,2022,Diesel,Automática
Chevrolet,Crossover,2010,Híbrido,Automática
Audi,Sedan,2012,Nafta,Automática
Volkswagen,Sedan,2023,Eléctrico,Manual
Honda,SUV,2011,Híbrido,Automática
Volkswagen,SUV,2024,Eléctrico,Manual
Renault,Van,2015,Diesel,Manual
Toyota,Pickup,2012,Nafta,Automática
BMW,Sedan,2022,Eléctrico,Manual
Kia,Coupe,2023,Híbrido,Manual
Chevrolet,Hatchback,2012,Híbrido,Automática
Hyundai,Deportivo,2020,Nafta,Manual
Nissan,Deportivo,2018,Híbrido,Manual
Hyundai,Pickup,2023,Eléctrico,Manual
Subaru,Coupe,2024,Híbrido,Automática
Mercedes-Benz,Hatchback,2018,Eléctrico,Automática
Chevrolet,Hatchback,2018,Eléctrico,Automática
Subaru,Van,2022,Híbrido,Manual
Chevrolet,Deportivo,2024,Nafta,Automática
Kia,Hatchback,2019,Híbrido,Manual
Toyota,Convertible,2020,Nafta,Manual
Honda,Sedan,2018,Nafta,Automática
Peugeot,Van,2012,Eléctrico,Automática
BMW,Coupe,2016,Diesel,Manual
Honda,Hatchback,2012,Nafta,Automática
Chevrolet,Deportivo,2020,Diesel,Automática
Mercedes-Benz,Convertible,2018,Híbrido,Manual
Volkswagen,Pickup,2022,Diesel,Automática
Honda,Convertible,2020,Híbrido,Manual
Mazda,Coupe,2018,Eléctrico,Automática
Renault,Convertible,2023,Híbrido,Manual
Toyota,SUV,2018,Híbrido,Manual
Ford,SUV,2012,Híbrido,Automática
Hyundai,Van,2024,Diesel,Automática
Mazda,Sedan,2014,Híbrido,Manual
Mazda,SUV,2012,Híbrido,Manual
Renault,Van,2010,Nafta,Manual
BMW,Sedan,2012,Eléctrico,Manual
Mazda,SUV,2018,Híbrido,Manual
Volkswagen,Coupe,2015,Eléctrico,Automática
BMW,Crossover,2016,Eléctrico,Automática
Peugeot,Pickup,2016,Eléctrico,Automática
Audi,Hatchback,2016,Eléctrico,Manual
Chevrolet,Crossover,2012,Eléctrico,Manual
Peugeot,Deportivo,2020,Híbrido,Manual
Chevrolet,Sedan,2015,Nafta,Automática
Renault,Hatchback,2017,Eléctrico,Automática
Honda,Coupe,2012,Nafta,Automática
Peugeot,Van,2015,Híbrido,Manual
Audi,Sedan,2023,Eléctrico,Automática
Subaru,Convertible,2013,Híbrido,Automática
Renault,Coupe,2012,Híbrido,Automática
Toyota,Hatchback,2021,Diesel,Manual
BMW,Hatchback,2012,Diesel,Manual
Mazda,Pickup,2018,Híbrido,Automática
Kia,SUV,2019,Diesel,Automática
Kia,SUV,2022,Eléctrico,Automática
Chevrolet,Sedan,2019,Híbrido,Automática
Nissan,Crossover,2023,Eléctrico,Automática
Mercedes-Benz,Van,2023,Diesel,Manual
Kia,Convertible,2022,Eléctrico,Manual
Audi,Crossover,2023,Diesel,Manual
Chevrolet,Crossover,2017,Eléctrico,Automática
Kia,Coupe,2013,Diesel,Manual
Mazda,Pickup,2022,Híbrido,Manual
Peugeot,Deportivo,2010,Nafta,Manual
Renault,Deportivo,2022,Eléctrico,Manual
Subaru,Pickup,2019,Nafta,Manual
Mazda,Coupe,2010,Híbrido,Manual
Ford,Hatchback,2015,Nafta,Manual
Chevrolet,Hatchback,2018,Híbrido,Automática
Renault,Van,2012,Eléctrico,Manual
Hyundai,Van,2015,Híbrido,Automática
Ford,SUV,2022,Eléctrico,Automática
BMW,Pickup,2023,Nafta,Manual
Peugeot,Crossover,2023,Diesel,Automática
Peugeot,Van,2022,Diesel,Automática
Renault,Sedan,2018,Eléctrico,Manual
Volkswagen,Hatchback,2011,Diesel,Manual
Volkswagen,Crossover,2022,Eléctrico,Automática
Ford,Van,2017,Nafta,Automática
Kia,Coupe,2023,Nafta,Automática
Nissan,Coupe,2016,Nafta,Manual
Nissan,Convertible,2011,Eléctrico,Manual
Volkswagen,Coupe,2020,Nafta,Automática
Ford,Hatchback,2018,Nafta,Automática
Audi,Crossover,2017,Nafta,Manual
Renault,Convertible,2016,Híbrido,Automática
Volkswagen,Van,2011,Eléctrico,Automática
BMW,Van,2012,Nafta,Manual
Kia,Convertible,2014,Diesel,Automática
Chevrolet,Van,2019,Nafta,Automática
Hyundai,Van,2010,Nafta,Automática
Mazda,Pickup,2020,Nafta,Manual
